english,portuguese,level,category,grammar_points
I bought a few eggs at the coffee shop.,Eu comprei alguns ovos na cafeteria.,B1,shopping,"[""quantifiers""]"
I bought a few medicine at the clothing store.,Eu comprei alguns remédio na loja de roupas.,B1,shopping,"[""quantifiers""]"
I have been meet friends three times a week to stay healthy.,Eu tenho encontrar amigos três vezes por semana para ficar saudável.,B1,health,"[""present perfect continuous""]"
I need to schedule a haircut.,Eu preciso marcar um corte de cabelo.,B1,health,"[""need to""]"
I bought a few toothpaste at the bakery.,Eu comprei alguns pasta de dente na padaria.,B1,shopping,"[""quantifiers""]"
I bought some batteries at the coffee shop.,Eu comprei alguns pilhas na cafeteria.,B1,shopping,"[""quantifiers""]"
I called the gas station to check if they had shampoo.,Eu liguei para a posto de gasolina para ver se tinham shampoo.,B1,shopping,"[""past simple""]"
I bought a couple of bread at the bakery.,Eu comprei um casal de pão na padaria.,B1,shopping,"[""quantifiers""]"
I called the bakery to check if they had toothpaste.,Eu liguei para a padaria para ver se tinham pasta de dente.,B1,shopping,"[""past simple""]"
I have been meet friends every day to stay healthy.,Eu tenho encontrar amigos todos os dias para ficar saudável.,B1,health,"[""present perfect continuous""]"
I called the grocery store to check if they had paper towels.,Eu liguei para a mercado para ver se tinham papel toalha.,B1,shopping,"[""past simple""]"
I called the hardware store to check if they had medicine.,Eu liguei para a loja de ferragens para ver se tinham remédio.,B1,shopping,"[""past simple""]"
I have been watch a movie twice a week to stay healthy.,Eu tenho assistir a um filme duas vezes por semana para ficar saudável.,B1,health,"[""present perfect continuous""]"
I bought a couple of paper towels at the drugstore.,Eu comprei um casal de papel toalha na farmácia.,B1,shopping,"[""quantifiers""]"
I called the coffee shop to check if they had toothpaste.,Eu liguei para a cafeteria para ver se tinham pasta de dente.,B1,shopping,"[""past simple""]"
I called the grocery store to check if they had medicine.,Eu liguei para a mercado para ver se tinham remédio.,B1,shopping,"[""past simple""]"
I bought a few tickets at the coffee shop.,Eu comprei alguns ingressos na cafeteria.,B1,shopping,"[""quantifiers""]"
I bought some tickets at the bakery.,Eu comprei alguns ingressos na padaria.,B1,shopping,"[""quantifiers""]"
I bought some paper towels at the drugstore.,Eu comprei alguns papel toalha na farmácia.,B1,shopping,"[""quantifiers""]"
I bought some milk at the bookstore.,Eu comprei alguns leite na livraria.,B1,shopping,"[""quantifiers""]"
I called the bookstore to check if they had eggs.,Eu liguei para a livraria para ver se tinham ovos.,B1,shopping,"[""past simple""]"
I have been go for a walk three times a week to stay healthy.,Eu tenho fazer uma caminhada três vezes por semana para ficar saudável.,B1,health,"[""present perfect continuous""]"
I have been go for a walk on weekends to stay healthy.,Eu tenho fazer uma caminhada nos fins de semana para ficar saudável.,B1,health,"[""present perfect continuous""]"
I bought some batteries at the hardware store.,Eu comprei alguns pilhas na loja de ferragens.,B1,shopping,"[""quantifiers""]"
I will call you when I get home.,Eu vou te ligar quando chegar em casa.,B1,plans,"[""future with will""]"
I bought a couple of batteries at the bookstore.,Eu comprei um casal de pilhas na livraria.,B1,shopping,"[""quantifiers""]"
I bought a few eggs at the bakery.,Eu comprei alguns ovos na padaria.,B1,shopping,"[""quantifiers""]"
I called the gas station to check if they had toothpaste.,Eu liguei para a posto de gasolina para ver se tinham pasta de dente.,B1,shopping,"[""past simple""]"
I bought a few paper towels at the grocery store.,Eu comprei alguns papel toalha na mercado.,B1,shopping,"[""quantifiers""]"
"I was going to the library, but my phone battery is low.","Eu ia ao a biblioteca, mas a bateria do meu celular está baixa.",B1,work,"[""past simple""]"
I have already paid the bill at the grocery store.,Eu já paguei a conta na mercado.,B1,shopping,"[""present perfect"", ""already""]"
I bought a couple of medicine at the drugstore.,Eu comprei um casal de remédio na farmácia.,B1,shopping,"[""quantifiers""]"
I called the hardware store to check if they had paper towels.,Eu liguei para a loja de ferragens para ver se tinham papel toalha.,B1,shopping,"[""past simple""]"
I bought some eggs at the gas station.,Eu comprei alguns ovos na posto de gasolina.,B1,shopping,"[""quantifiers""]"
I bought a couple of shampoo at the hardware store.,Eu comprei um casal de shampoo na loja de ferragens.,B1,shopping,"[""quantifiers""]"
I called the clothing store to check if they had tickets.,Eu liguei para a loja de roupas para ver se tinham ingressos.,B1,shopping,"[""past simple""]"
I called the coffee shop to check if they had eggs.,Eu liguei para a cafeteria para ver se tinham ovos.,B1,shopping,"[""past simple""]"
I shop online three times a week.,Eu compro online três vezes por semana.,B1,shopping,"[""adverbs of frequency""]"
"I was going to the park, but my phone battery is low.","Eu ia ao o parque, mas a bateria do meu celular está baixa.",B1,work,"[""past simple""]"
I bought a couple of medicine at the bakery.,Eu comprei um casal de remédio na padaria.,B1,shopping,"[""quantifiers""]"
I have been read a book every day to stay healthy.,Eu tenho ler um livro todos os dias para ficar saudável.,B1,health,"[""present perfect continuous""]"
I bought a few paper towels at the hardware store.,Eu comprei alguns papel toalha na loja de ferragens.,B1,shopping,"[""quantifiers""]"
I bought a few milk at the grocery store.,Eu comprei alguns leite na mercado.,B1,shopping,"[""quantifiers""]"
"If it rains, I will take the walk.","Se chover, eu vou de a pé.",B1,transport,"[""first conditional""]"
I have been study English once a month to stay healthy.,Eu tenho estudar inglês uma vez por mês para ficar saudável.,B1,health,"[""present perfect continuous""]"
"my card was declined, so I will call support.","meu cartão foi recusado, então vou ligar para o suporte.",B1,technology,"[""linking words""]"
I have been go for a walk twice a week to stay healthy.,Eu tenho fazer uma caminhada duas vezes por semana para ficar saudável.,B1,health,"[""present perfect continuous""]"
"I was going to the post office, but my phone battery is low.","Eu ia ao os correios, mas a bateria do meu celular está baixa.",B1,work,"[""past simple""]"
I bought a couple of soap at the bookstore.,Eu comprei um casal de sabão na livraria.,B1,shopping,"[""quantifiers""]"
I bought some eggs at the bakery.,Eu comprei alguns ovos na padaria.,B1,shopping,"[""quantifiers""]"
I called the clothing store to check if they had batteries.,Eu liguei para a loja de roupas para ver se tinham pilhas.,B1,shopping,"[""past simple""]"
Could you check if you have shampoo in stock?,Você poderia verificar se tem shampoo em estoque?,B1,shopping,"[""modal could""]"
I bought a couple of shampoo at the grocery store.,Eu comprei um casal de shampoo na mercado.,B1,shopping,"[""quantifiers""]"
I called the coffee shop to check if they had tickets.,Eu liguei para a cafeteria para ver se tinham ingressos.,B1,shopping,"[""past simple""]"
I called the drugstore to check if they had milk.,Eu liguei para a farmácia para ver se tinham leite.,B1,shopping,"[""past simple""]"
I bought a few tickets at the hardware store.,Eu comprei alguns ingressos na loja de ferragens.,B1,shopping,"[""quantifiers""]"
I called the bookstore to check if they had toothpaste.,Eu liguei para a livraria para ver se tinham pasta de dente.,B1,shopping,"[""past simple""]"
I called the drugstore to check if they had bread.,Eu liguei para a farmácia para ver se tinham pão.,B1,shopping,"[""past simple""]"
I bought a few shampoo at the gas station.,Eu comprei alguns shampoo na posto de gasolina.,B1,shopping,"[""quantifiers""]"
I bought some shampoo at the bakery.,Eu comprei alguns shampoo na padaria.,B1,shopping,"[""quantifiers""]"
I have been cook at home every day to stay healthy.,Eu tenho cozinhar em casa todos os dias para ficar saudável.,B1,health,"[""present perfect continuous""]"
I bought a few toothpaste at the drugstore.,Eu comprei alguns pasta de dente na farmácia.,B1,shopping,"[""quantifiers""]"
I called the hardware store to check if they had shampoo.,Eu liguei para a loja de ferragens para ver se tinham shampoo.,B1,shopping,"[""past simple""]"
The traffic is heavier during rush hour.,O trânsito é mais pesado no horário de pico.,B1,work,"[""comparatives""]"
I bought a couple of medicine at the bookstore.,Eu comprei um casal de remédio na livraria.,B1,shopping,"[""quantifiers""]"
I have been pay bills twice a week to stay healthy.,Eu tenho pagar contas duas vezes por semana para ficar saudável.,B1,health,"[""present perfect continuous""]"
I have been go grocery shopping on weekends to stay healthy.,Eu tenho fazer compras nos fins de semana para ficar saudável.,B1,health,"[""present perfect continuous""]"
I called the hardware store to check if they had toothpaste.,Eu liguei para a loja de ferragens para ver se tinham pasta de dente.,B1,shopping,"[""past simple""]"
I have already send an email today.,Eu já enviar um e-mail hoje.,B1,work,"[""present perfect""]"
"I was going to the post office, but the internet is down.","Eu ia ao os correios, mas a internet caiu.",B1,work,"[""past simple""]"
I bought a few tickets at the gas station.,Eu comprei alguns ingressos na posto de gasolina.,B1,shopping,"[""quantifiers""]"
I bought some soap at the drugstore.,Eu comprei alguns sabão na farmácia.,B1,shopping,"[""quantifiers""]"
"I was going to the bank, but the internet is down.","Eu ia ao o banco, mas a internet caiu.",B1,work,"[""past simple""]"
Could you check if you have batteries in stock?,Você poderia verificar se tem pilhas em estoque?,B1,shopping,"[""modal could""]"
I bought a couple of milk at the drugstore.,Eu comprei um casal de leite na farmácia.,B1,shopping,"[""quantifiers""]"
I bought a few batteries at the bakery.,Eu comprei alguns pilhas na padaria.,B1,shopping,"[""quantifiers""]"
I bought a couple of toothpaste at the drugstore.,Eu comprei um casal de pasta de dente na farmácia.,B1,shopping,"[""quantifiers""]"
Could you check if you have soap in stock?,Você poderia verificar se tem sabão em estoque?,B1,shopping,"[""modal could""]"
I bought a few medicine at the bookstore.,Eu comprei alguns remédio na livraria.,B1,shopping,"[""quantifiers""]"
I bought a couple of bread at the bookstore.,Eu comprei um casal de pão na livraria.,B1,shopping,"[""quantifiers""]"
I shop online on weekdays.,Eu compro online nos dias úteis.,B1,shopping,"[""adverbs of frequency""]"
I called the coffee shop to check if they had milk.,Eu liguei para a cafeteria para ver se tinham leite.,B1,shopping,"[""past simple""]"
I bought a few batteries at the grocery store.,Eu comprei alguns pilhas na mercado.,B1,shopping,"[""quantifiers""]"
I bought a few eggs at the clothing store.,Eu comprei alguns ovos na loja de roupas.,B1,shopping,"[""quantifiers""]"
I bought some shampoo at the coffee shop.,Eu comprei alguns shampoo na cafeteria.,B1,shopping,"[""quantifiers""]"
I bought a couple of soap at the coffee shop.,Eu comprei um casal de sabão na cafeteria.,B1,shopping,"[""quantifiers""]"
I bought some bread at the drugstore.,Eu comprei alguns pão na farmácia.,B1,shopping,"[""quantifiers""]"
I bought a few shampoo at the drugstore.,Eu comprei alguns shampoo na farmácia.,B1,shopping,"[""quantifiers""]"
I have been pay bills once a month to stay healthy.,Eu tenho pagar contas uma vez por mês para ficar saudável.,B1,health,"[""present perfect continuous""]"
I bought some eggs at the clothing store.,Eu comprei alguns ovos na loja de roupas.,B1,shopping,"[""quantifiers""]"
I called the gas station to check if they had milk.,Eu liguei para a posto de gasolina para ver se tinham leite.,B1,shopping,"[""past simple""]"
"I was going to the supermarket, but the internet is down.","Eu ia ao o supermercado, mas a internet caiu.",B1,work,"[""past simple""]"
I bought some paper towels at the bookstore.,Eu comprei alguns papel toalha na livraria.,B1,shopping,"[""quantifiers""]"
I bought a few paper towels at the gas station.,Eu comprei alguns papel toalha na posto de gasolina.,B1,shopping,"[""quantifiers""]"
I called the coffee shop to check if they had shampoo.,Eu liguei para a cafeteria para ver se tinham shampoo.,B1,shopping,"[""past simple""]"
I have been visit family on weekdays to stay healthy.,Eu tenho visitar a família nos dias úteis para ficar saudável.,B1,health,"[""present perfect continuous""]"
I called the bakery to check if they had paper towels.,Eu liguei para a padaria para ver se tinham papel toalha.,B1,shopping,"[""past simple""]"
I have just finished do the laundry.,Eu acabei de lavar roupa.,B1,home,"[""present perfect""]"
I called the coffee shop to check if they had soap.,Eu liguei para a cafeteria para ver se tinham sabão.,B1,shopping,"[""past simple""]"
"I was going to the supermarket, but my card was declined.","Eu ia ao o supermercado, mas meu cartão foi recusado.",B1,work,"[""past simple""]"
"I was going to the mall, but my card was declined.","Eu ia ao o shopping, mas meu cartão foi recusado.",B1,work,"[""past simple""]"
I called the coffee shop to check if they had bread.,Eu liguei para a cafeteria para ver se tinham pão.,B1,shopping,"[""past simple""]"
I have been saving money to buy a laptop.,Eu tenho economizado dinheiro para comprar um notebook.,B1,shopping,"[""present perfect""]"
I bought some eggs at the bookstore.,Eu comprei alguns ovos na livraria.,B1,shopping,"[""quantifiers""]"
I bought a couple of eggs at the drugstore.,Eu comprei um casal de ovos na farmácia.,B1,shopping,"[""quantifiers""]"
I bought a few milk at the bookstore.,Eu comprei alguns leite na livraria.,B1,shopping,"[""quantifiers""]"
I bought some shampoo at the hardware store.,Eu comprei alguns shampoo na loja de ferragens.,B1,shopping,"[""quantifiers""]"
"I was going to the park, but the internet is down.","Eu ia ao o parque, mas a internet caiu.",B1,work,"[""past simple""]"
I bought a couple of bread at the gas station.,Eu comprei um casal de pão na posto de gasolina.,B1,shopping,"[""quantifiers""]"
I bought some tickets at the bookstore.,Eu comprei alguns ingressos na livraria.,B1,shopping,"[""quantifiers""]"
I have already paid the bill at the bakery.,Eu já paguei a conta na padaria.,B1,shopping,"[""present perfect"", ""already""]"
I bought some paper towels at the clothing store.,Eu comprei alguns papel toalha na loja de roupas.,B1,shopping,"[""quantifiers""]"
I bought a couple of tickets at the coffee shop.,Eu comprei um casal de ingressos na cafeteria.,B1,shopping,"[""quantifiers""]"
I called the gas station to check if they had tickets.,Eu liguei para a posto de gasolina para ver se tinham ingressos.,B1,shopping,"[""past simple""]"
I bought a few bread at the hardware store.,Eu comprei alguns pão na loja de ferragens.,B1,shopping,"[""quantifiers""]"
I bought a few paper towels at the coffee shop.,Eu comprei alguns papel toalha na cafeteria.,B1,shopping,"[""quantifiers""]"
I have been watch a movie three times a week to stay healthy.,Eu tenho assistir a um filme três vezes por semana para ficar saudável.,B1,health,"[""present perfect continuous""]"
"If I miss the bus, I usually call a ride.","Se eu perco o ônibus, eu normalmente chamar um carro.",B1,transport,"[""zero conditional""]"
I bought a few tickets at the grocery store.,Eu comprei alguns ingressos na mercado.,B1,shopping,"[""quantifiers""]"
I bought a couple of shampoo at the bakery.,Eu comprei um casal de shampoo na padaria.,B1,shopping,"[""quantifiers""]"
"the internet is down, so I will call support.","a internet caiu, então vou ligar para o suporte.",B1,technology,"[""linking words""]"
I called the gas station to check if they had bread.,Eu liguei para a posto de gasolina para ver se tinham pão.,B1,shopping,"[""past simple""]"
I have been feeling tired lately.,Eu tenho me sentido cansado ultimamente.,B1,health,"[""present perfect continuous""]"
I bought a few medicine at the hardware store.,Eu comprei alguns remédio na loja de ferragens.,B1,shopping,"[""quantifiers""]"
I bought a couple of shampoo at the drugstore.,Eu comprei um casal de shampoo na farmácia.,B1,shopping,"[""quantifiers""]"
I have been work out twice a week to stay healthy.,Eu tenho treinar duas vezes por semana para ficar saudável.,B1,health,"[""present perfect continuous""]"
I bought a few eggs at the gas station.,Eu comprei alguns ovos na posto de gasolina.,B1,shopping,"[""quantifiers""]"
I called the grocery store to check if they had tickets.,Eu liguei para a mercado para ver se tinham ingressos.,B1,shopping,"[""past simple""]"
"If it rains, I will take the bike.","Se chover, eu vou de bicicleta.",B1,transport,"[""first conditional""]"
I bought a few batteries at the drugstore.,Eu comprei alguns pilhas na farmácia.,B1,shopping,"[""quantifiers""]"
"I was going to the library, but my card was declined.","Eu ia ao a biblioteca, mas meu cartão foi recusado.",B1,work,"[""past simple""]"
"If I miss the train, I usually take a taxi.","Se eu perco o trem, eu normalmente pegar um táxi.",B1,transport,"[""zero conditional""]"
I bought some tickets at the grocery store.,Eu comprei alguns ingressos na mercado.,B1,shopping,"[""quantifiers""]"
I bought a few soap at the coffee shop.,Eu comprei alguns sabão na cafeteria.,B1,shopping,"[""quantifiers""]"
I have just finished clean the kitchen.,Eu acabei de limpar a cozinha.,B1,home,"[""present perfect""]"
I have just finished wash the dishes.,Eu acabei de lavar a louça.,B1,home,"[""present perfect""]"
"my phone battery is low, so I will call support.","a bateria do meu celular está baixa, então vou ligar para o suporte.",B1,technology,"[""linking words""]"
"I missed the ride-share, so I took a taxi.","Eu perdi o carro por aplicativo, então peguei um táxi.",B1,transport,"[""past simple""]"
"If I miss the bike, I usually walk home.","Se eu perco o bicicleta, eu normalmente ir a pé para casa.",B1,transport,"[""zero conditional""]"
I bought a couple of shampoo at the gas station.,Eu comprei um casal de shampoo na posto de gasolina.,B1,shopping,"[""quantifiers""]"
"The service was average, but the tickets was crowded.","O atendimento foi mediana, mas o ingressos estava cheio.",B2,shopping,"[""contrast""]"
"The service was poor, but the batteries was crowded.","O atendimento foi ruim, mas o pilhas estava cheio.",B2,shopping,"[""contrast""]"
"The service was poor, but the bread was busy.","O atendimento foi ruim, mas o pão estava movimentado.",B2,shopping,"[""contrast""]"
"The service was average, but the soap was crowded.","O atendimento foi mediana, mas o sabão estava cheio.",B2,shopping,"[""contrast""]"
"The service was average, but the shampoo was cheap.","O atendimento foi mediana, mas o shampoo estava barato.",B2,shopping,"[""contrast""]"
"The service was average, but the shampoo was expensive.","O atendimento foi mediana, mas o shampoo estava caro.",B2,shopping,"[""contrast""]"
"The service was great, but the medicine was expensive.","O atendimento foi ótima, mas o remédio estava caro.",B2,shopping,"[""contrast""]"
"The service was poor, but the paper towels was cheap.","O atendimento foi ruim, mas o papel toalha estava barato.",B2,shopping,"[""contrast""]"
"The service was great, but the tickets was busy.","O atendimento foi ótima, mas o ingressos estava movimentado.",B2,shopping,"[""contrast""]"
"The service was poor, but the tickets was expensive.","O atendimento foi ruim, mas o ingressos estava caro.",B2,shopping,"[""contrast""]"
"The service was poor, but the medicine was clean.","O atendimento foi ruim, mas o remédio estava limpo.",B2,shopping,"[""contrast""]"
"The service was average, but the toothpaste was busy.","O atendimento foi mediana, mas o pasta de dente estava movimentado.",B2,shopping,"[""contrast""]"
"The service was poor, but the medicine was busy.","O atendimento foi ruim, mas o remédio estava movimentado.",B2,shopping,"[""contrast""]"
"The service was poor, but the eggs was busy.","O atendimento foi ruim, mas o ovos estava movimentado.",B2,shopping,"[""contrast""]"
"The service was average, but the paper towels was quiet.","O atendimento foi mediana, mas o papel toalha estava tranquilo.",B2,shopping,"[""contrast""]"
"The service was average, but the batteries was cheap.","O atendimento foi mediana, mas o pilhas estava barato.",B2,shopping,"[""contrast""]"
"The service was average, but the medicine was clean.","O atendimento foi mediana, mas o remédio estava limpo.",B2,shopping,"[""contrast""]"
"If I had more time, I would go for a walk.","Se eu tivesse mais tempo, eu iria fazer uma caminhada.",B2,opinions,"[""second conditional""]"
"The service was poor, but the bread was clean.","O atendimento foi ruim, mas o pão estava limpo.",B2,shopping,"[""contrast""]"
"The service was great, but the batteries was busy.","O atendimento foi ótima, mas o pilhas estava movimentado.",B2,shopping,"[""contrast""]"
"The service was average, but the bread was expensive.","O atendimento foi mediana, mas o pão estava caro.",B2,shopping,"[""contrast""]"
"The service was average, but the tickets was clean.","O atendimento foi mediana, mas o ingressos estava limpo.",B2,shopping,"[""contrast""]"
"The service was great, but the milk was clean.","O atendimento foi ótima, mas o leite estava limpo.",B2,shopping,"[""contrast""]"
"The service was great, but the soap was clean.","O atendimento foi ótima, mas o sabão estava limpo.",B2,shopping,"[""contrast""]"
"The service was average, but the batteries was crowded.","O atendimento foi mediana, mas o pilhas estava cheio.",B2,shopping,"[""contrast""]"
"The service was poor, but the bread was crowded.","O atendimento foi ruim, mas o pão estava cheio.",B2,shopping,"[""contrast""]"
"If I had known about the delay, I would be at downtown by now.","Se eu soubesse do atraso, eu já estaria no o centro.",B2,conversation,"[""mixed conditionals""]"
"The service was average, but the medicine was quiet.","O atendimento foi mediana, mas o remédio estava tranquilo.",B2,shopping,"[""contrast""]"
"The service was poor, but the batteries was expensive.","O atendimento foi ruim, mas o pilhas estava caro.",B2,shopping,"[""contrast""]"
"The service was average, but the batteries was clean.","O atendimento foi mediana, mas o pilhas estava limpo.",B2,shopping,"[""contrast""]"
"The service was poor, but the soap was quiet.","O atendimento foi ruim, mas o sabão estava tranquilo.",B2,shopping,"[""contrast""]"
The deadline was moved to Thursday.,O prazo foi adiado para quinta-feira.,B2,work,"[""passive voice""]"
"The service was average, but the paper towels was expensive.","O atendimento foi mediana, mas o papel toalha estava caro.",B2,shopping,"[""contrast""]"
"The service was poor, but the toothpaste was expensive.","O atendimento foi ruim, mas o pasta de dente estava caro.",B2,shopping,"[""contrast""]"
"The service was poor, but the shampoo was busy.","O atendimento foi ruim, mas o shampoo estava movimentado.",B2,shopping,"[""contrast""]"
"The service was great, but the medicine was clean.","O atendimento foi ótima, mas o remédio estava limpo.",B2,shopping,"[""contrast""]"
"The service was great, but the milk was expensive.","O atendimento foi ótima, mas o leite estava caro.",B2,shopping,"[""contrast""]"
"The service was average, but the paper towels was crowded.","O atendimento foi mediana, mas o papel toalha estava cheio.",B2,shopping,"[""contrast""]"
"The service was great, but the paper towels was busy.","O atendimento foi ótima, mas o papel toalha estava movimentado.",B2,shopping,"[""contrast""]"
"The service was average, but the eggs was busy.","O atendimento foi mediana, mas o ovos estava movimentado.",B2,shopping,"[""contrast""]"
"The service was average, but the soap was quiet.","O atendimento foi mediana, mas o sabão estava tranquilo.",B2,shopping,"[""contrast""]"
"The service was average, but the milk was clean.","O atendimento foi mediana, mas o leite estava limpo.",B2,shopping,"[""contrast""]"
"The service was great, but the tickets was expensive.","O atendimento foi ótima, mas o ingressos estava caro.",B2,shopping,"[""contrast""]"
"The service was poor, but the milk was clean.","O atendimento foi ruim, mas o leite estava limpo.",B2,shopping,"[""contrast""]"
"The service was great, but the paper towels was crowded.","O atendimento foi ótima, mas o papel toalha estava cheio.",B2,shopping,"[""contrast""]"
I wish I had more time to visit family.,Eu gostaria de ter mais tempo para visitar a família.,B2,opinions,"[""wish""]"
"The service was poor, but the batteries was busy.","O atendimento foi ruim, mas o pilhas estava movimentado.",B2,shopping,"[""contrast""]"
"The service was average, but the paper towels was cheap.","O atendimento foi mediana, mas o papel toalha estava barato.",B2,shopping,"[""contrast""]"
"If I had more time, I would work out.","Se eu tivesse mais tempo, eu iria treinar.",B2,opinions,"[""second conditional""]"
I wish I had more time to go grocery shopping.,Eu gostaria de ter mais tempo para fazer compras.,B2,opinions,"[""wish""]"
"The service was average, but the medicine was expensive.","O atendimento foi mediana, mas o remédio estava caro.",B2,shopping,"[""contrast""]"
"The service was poor, but the medicine was quiet.","O atendimento foi ruim, mas o remédio estava tranquilo.",B2,shopping,"[""contrast""]"
"The service was great, but the batteries was crowded.","O atendimento foi ótima, mas o pilhas estava cheio.",B2,shopping,"[""contrast""]"
"The service was poor, but the paper towels was quiet.","O atendimento foi ruim, mas o papel toalha estava tranquilo.",B2,shopping,"[""contrast""]"
"The service was poor, but the paper towels was crowded.","O atendimento foi ruim, mas o papel toalha estava cheio.",B2,shopping,"[""contrast""]"
"The service was average, but the tickets was quiet.","O atendimento foi mediana, mas o ingressos estava tranquilo.",B2,shopping,"[""contrast""]"
"The service was great, but the toothpaste was expensive.","O atendimento foi ótima, mas o pasta de dente estava caro.",B2,shopping,"[""contrast""]"
"The service was average, but the eggs was cheap.","O atendimento foi mediana, mas o ovos estava barato.",B2,shopping,"[""contrast""]"
"The service was great, but the paper towels was clean.","O atendimento foi ótima, mas o papel toalha estava limpo.",B2,shopping,"[""contrast""]"
"The service was average, but the toothpaste was expensive.","O atendimento foi mediana, mas o pasta de dente estava caro.",B2,shopping,"[""contrast""]"
"I used to shop in person, but now I buy online.","Eu costumava comprar pessoalmente, mas agora compro online.",B2,shopping,"[""used to""]"
"The service was great, but the soap was cheap.","O atendimento foi ótima, mas o sabão estava barato.",B2,shopping,"[""contrast""]"
"The service was poor, but the soap was clean.","O atendimento foi ruim, mas o sabão estava limpo.",B2,shopping,"[""contrast""]"
We should cook at home more often because it is cheaper.,Nós deveríamos cozinhar em casa com mais frequência porque é mais barato.,B2,opinions,"[""modal should""]"
I wish I had more time to go for a walk.,Eu gostaria de ter mais tempo para fazer uma caminhada.,B2,opinions,"[""wish""]"
"The service was poor, but the toothpaste was crowded.","O atendimento foi ruim, mas o pasta de dente estava cheio.",B2,shopping,"[""contrast""]"
"The service was average, but the toothpaste was clean.","O atendimento foi mediana, mas o pasta de dente estava limpo.",B2,shopping,"[""contrast""]"
I wish I had more time to meet friends.,Eu gostaria de ter mais tempo para encontrar amigos.,B2,opinions,"[""wish""]"
"The service was great, but the paper towels was cheap.","O atendimento foi ótima, mas o papel toalha estava barato.",B2,shopping,"[""contrast""]"
"The service was average, but the bread was cheap.","O atendimento foi mediana, mas o pão estava barato.",B2,shopping,"[""contrast""]"
"The service was poor, but the bread was quiet.","O atendimento foi ruim, mas o pão estava tranquilo.",B2,shopping,"[""contrast""]"
"The service was great, but the paper towels was expensive.","O atendimento foi ótima, mas o papel toalha estava caro.",B2,shopping,"[""contrast""]"
"The service was poor, but the toothpaste was clean.","O atendimento foi ruim, mas o pasta de dente estava limpo.",B2,shopping,"[""contrast""]"
"The service was average, but the eggs was expensive.","O atendimento foi mediana, mas o ovos estava caro.",B2,shopping,"[""contrast""]"
"The service was average, but the toothpaste was crowded.","O atendimento foi mediana, mas o pasta de dente estava cheio.",B2,shopping,"[""contrast""]"
"The service was great, but the batteries was clean.","O atendimento foi ótima, mas o pilhas estava limpo.",B2,shopping,"[""contrast""]"
I wish I had more time to study English.,Eu gostaria de ter mais tempo para estudar inglês.,B2,opinions,"[""wish""]"
"If I had more time, I would pay bills.","Se eu tivesse mais tempo, eu iria pagar contas.",B2,opinions,"[""second conditional""]"
"The service was great, but the toothpaste was busy.","O atendimento foi ótima, mas o pasta de dente estava movimentado.",B2,shopping,"[""contrast""]"
"The service was poor, but the eggs was clean.","O atendimento foi ruim, mas o ovos estava limpo.",B2,shopping,"[""contrast""]"
"The service was poor, but the toothpaste was quiet.","O atendimento foi ruim, mas o pasta de dente estava tranquilo.",B2,shopping,"[""contrast""]"
"The line is too long, so I will come back later.","A fila está longa demais, então vou voltar depois.",B2,shopping,"[""too/enough""]"
"If I had known about the delay, I would be at the office by now.","Se eu soubesse do atraso, eu já estaria no o escritório.",B2,conversation,"[""mixed conditionals""]"
"The service was great, but the medicine was quiet.","O atendimento foi ótima, mas o remédio estava tranquilo.",B2,shopping,"[""contrast""]"
"The service was poor, but the milk was crowded.","O atendimento foi ruim, mas o leite estava cheio.",B2,shopping,"[""contrast""]"
I wish I had more time to pay bills.,Eu gostaria de ter mais tempo para pagar contas.,B2,opinions,"[""wish""]"
"The service was poor, but the batteries was clean.","O atendimento foi ruim, mas o pilhas estava limpo.",B2,shopping,"[""contrast""]"
"The service was average, but the milk was busy.","O atendimento foi mediana, mas o leite estava movimentado.",B2,shopping,"[""contrast""]"
"The service was poor, but the soap was busy.","O atendimento foi ruim, mas o sabão estava movimentado.",B2,shopping,"[""contrast""]"
"The service was average, but the batteries was expensive.","O atendimento foi mediana, mas o pilhas estava caro.",B2,shopping,"[""contrast""]"
"The service was great, but the medicine was busy.","O atendimento foi ótima, mas o remédio estava movimentado.",B2,shopping,"[""contrast""]"
"The service was great, but the eggs was busy.","O atendimento foi ótima, mas o ovos estava movimentado.",B2,shopping,"[""contrast""]"
We should cook at home more often because it is healthier.,Nós deveríamos cozinhar em casa com mais frequência porque é mais saudável.,B2,opinions,"[""modal should""]"
"The service was great, but the tickets was crowded.","O atendimento foi ótima, mas o ingressos estava cheio.",B2,shopping,"[""contrast""]"
"If I had more time, I would visit family.","Se eu tivesse mais tempo, eu iria visitar a família.",B2,opinions,"[""second conditional""]"
"If I had known about the delay, I would be at the post office by now.","Se eu soubesse do atraso, eu já estaria no os correios.",B2,conversation,"[""mixed conditionals""]"
"The service was poor, but the eggs was crowded.","O atendimento foi ruim, mas o ovos estava cheio.",B2,shopping,"[""contrast""]"
"The service was average, but the shampoo was clean.","O atendimento foi mediana, mas o shampoo estava limpo.",B2,shopping,"[""contrast""]"
"If I had known about the delay, I would be at the mall by now.","Se eu soubesse do atraso, eu já estaria no o shopping.",B2,conversation,"[""mixed conditionals""]"
"The service was great, but the tickets was cheap.","O atendimento foi ótima, mas o ingressos estava barato.",B2,shopping,"[""contrast""]"
"The service was great, but the medicine was crowded.","O atendimento foi ótima, mas o remédio estava cheio.",B2,shopping,"[""contrast""]"
